index;shoot;identifier;total time
539;1;010-00-018;13.88360595703125
540;1;010-00-019;13.982154607772827
541;1;010-00-020;15.91695499420166
542;1;010-00-021;13.522320747375488
543;1;010-00-027;16.26588535308838
544;1;010-00-028;19.0271258354187
545;1;010-00-029;14.343893051147461
546;1;010-00-030;18.621461868286133
547;1;010-00-031;16.97080945968628
548;1;010-00-032;17.079382181167603
549;1;010-00-033;16.797250986099243
550;1;010-00-034;18.826316833496094
551;1;010-00-035;18.78738760948181
552;1;010-00-036;18.04955506324768
553;1;010-00-037;21.782248497009277
554;1;010-00-038;19.908953189849854
555;1;010-00-039;17.716936111450195
556;1;010-00-040;23.28230571746826
557;1;010-00-041;19.08208131790161
558;1;09-00-011;0.300431489944458
559;1;010-00-042;7.152557373046875e-05
560;1;010-00-043;8.485109806060791
561;1;010-00-045;7.791122198104858
562;2;010-00-047;18.558833122253418
563;1;011-00-046;9.342883586883545
564;1;011-00-044;9.1343834400177
565;1;011-00-042;9.39572024345398
566;1;011-00-041;9.093976259231567
567;1;011-00-040;8.809424638748169
568;1;011-00-039;9.552663803100586
569;1;011-00-038;10.495235919952393
570;1;011-00-037;9.292089700698853
571;1;011-00-036;9.762094736099243
572;1;011-00-035;9.44988489151001
573;1;011-00-034;11.08841872215271
574;1;011-00-033;10.384382247924805
575;1;011-00-032;10.705861330032349
576;1;011-00-031;9.99340534210205
577;1;011-00-030;9.451992511749268
578;1;011-00-029;10.416257381439209
579;10;011-00-028;97.71491599082947
580;1;011-00-020;15.161023616790771
581;1;011-00-019;11.388768434524536
582;1;011-00-018;17.729963541030884
583;1;011-00-017;12.132919311523438
584;1;011-00-016;13.528095483779907
585;1;011-00-015;12.129296779632568
586;1;011-00-014;14.344346761703491
587;1;011-00-013;12.566988945007324
588;1;011-00-012;13.36025857925415
589;7;011-00-011;51.63667702674866
590;5;011-00-010;46.123461961746216
591;1;011-00-09;7.139944076538086
592;1;011-00-08;18.696070909500122
